text_id,a_name,e_name,old_group,new_group,date,text_name,category,present,value_count,values
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Bezeichnung des Lösungsmittels,1,2,Mercurius Triumphans Philosophorus; Menstruum Universale
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Salz mit Gold und Silber zusammenschmelzen,0,0,
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Auflösung von Gold,1,6,Qualität des Goldes; natürliches Gold; Verhältnis Gold : Menstruum Universale 1 : 10; Gold löst sich auf; Abfiltrieren; Goldlösung in Phiole überführen
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Beschreibung des Athanors,1,4,3 Kugeln; 1. Kugel die größte; 2. Kugel voller Löcher; 3. Kugel Eichenholz
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Erzeugung des Rubinkorns,1,20,gefüllte Phiole in Athanor; 1. Phiole in Wasserdampf; 1a. 40-45 Tage im Wasserdampf; 1b. im Wasserdampf Putrefaction; 2. Phiole in Aschebad; 2a: 50 Tage im Aschebad; 2b: im Aschebad Pfauenschwanz; 3. Phiole in halben Sandbad; 3a: Phiole schaut aus Sand heraus; 3b: 50 Tage im halben Sandbad; 3c: zuerst im halben Sandbad Weiß; 3d: weitere 30 Tage im halben Sandbad; 3e: im halben Sandbad jetzt Gelb; 4: Phiole komplett im Sandbad; 4a: Zeit unbestimmt; 4b: im kompletten Sandbad Rot; 4c: im kompletten Sandbad in der Mitte Rubinkorn; Rubinkorn ist Linsengroß; 4d: im kompletten Sandbad außen rotes Pulver; 5: rotes Rubinkorn entnehmen
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Bezeichnung des Rubinkorns,1,2,Goldsamen; das rechte philosophische lebendige Gold
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Weiterer Syntheseschritt,1,1,Secunda Compositio
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Zwischenanalyse,1,1,auf glühendem Silberblech
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Multiplikation,1,6,Verhältnis Rubinkorn : Menstruum Universale 1 : 10; im Athanor durch alle Farben; schnellere Wiederholung der ersten Operation; mehrfache Multiplikation; nach 1. Multiplication kann die Tinktur 10 Teile tingieren; jede Multiplikation verzehnfacht die Kraft der Tinktur
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Fermentation,0,0,
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Projection,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Zuschreibung der Vorschrift,1,1,Sendivogius
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Philosophische Vorbetrachtung,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Datierung der Probenahme,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Ort der Probenahme,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Art der Erde,1,1,"Erde durch Sonne, Mond und Sterne imprägniert"
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Art der Probenahme,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Aufteilung der Erde,1,1,Erde in 2 Teile teilen
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Fundort der Erde,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Imprägnation der Erde,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Extraktion,1,1,wie Salpetersieder
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Eindampfen,1,2,Sieden; Salz wird gereinigt
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Bezeichnung des ausgelaugten Salzes,1,1,Salpeter
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Weiterverarbeitung Erdsalz,1,12,ausgelaugte Erde calcinieren; Erdsalz und calcinierte Erde vermischen; Verhältnis Erdsalz zu Erde 1:3; keine Kugeln; maximal 6 Pfund pro Ansatz; Mischung in Retorte geben; in Vorlage Wasser; destilliertes Regenwasser; Spiritus geht über; Spiritus rot; Spiritus rektifizieren; Spiritus kühl lagern
