#This file maps labels (0|1) to their meaning for each character.
character;type;label_0;label_1;n_texts
alle metalla und edelgesteine;phrase;absent;alle metalla und edelgesteine;3
an einen kalten ort;phrase;absent;an einen kalten ort;3
andern elementen und himmeln;phrase;absent;andern elementen und himmeln;3
andern ist der himmlische;phrase;absent;andern ist der himmlische;3
auch in ihm ein;phrase;absent;auch in ihm ein;3
auf voller löcher damit;phrase;absent;auf voller löcher damit;3
bedecke nach den athanor;phrase;absent;bedecke nach den athanor;3
begreiffet dann sie ist;phrase;absent;begreiffet dann sie ist;3
capita mortua von allen;phrase;absent;capita mortua von allen;3
caput mortuum fleißig zur;phrase;absent;caput mortuum fleißig zur;3
dampff durchdringen mag die;phrase;absent;dampff durchdringen mag die;3
daraus alles gebohren wird;phrase;absent;daraus alles gebohren wird;3
das die hitze sey;phrase;absent;das die hitze sey;3
das verum esse aller;phrase;absent;das verum esse aller;3
der nitri nemlich der;phrase;absent;der nitri nemlich der;3
die eicherne kugel und;phrase;absent;die eicherne kugel und;3
die hölzerne kugel hinweg;phrase;absent;die hölzerne kugel hinweg;3
die löcherichte kugel in;phrase;absent;die löcherichte kugel in;3
die putrefaction im vaporischen;phrase;absent;die putrefaction im vaporischen;3
die spiritus circuliren mögen;phrase;absent;die spiritus circuliren mögen;3
dieser jungfräulichen erden verborgen;phrase;absent;dieser jungfräulichen erden verborgen;3
eichene kugel in der;phrase;absent;eichene kugel in der;3
einander vereinigen und alle;phrase;absent;einander vereinigen und alle;3
feuer so sublimiret sich;phrase;absent;feuer so sublimiret sich;3
geheimniß diese soll man;phrase;absent;geheimniß diese soll man;3
geschwängert und ist das;phrase;absent;geschwängert und ist das;3
gold ist wäge es;phrase;absent;gold ist wäge es;3
heraus zu bringen folget;phrase;absent;heraus zu bringen folget;3
in der ersten multiplication;phrase;absent;in der ersten multiplication;3
in der mitte ein;phrase;absent;in der mitte ein;3
in die eicherne kugel;phrase;absent;in die eicherne kugel;3
kein cz salz mehr;phrase;absent;kein cz salz mehr;3
man kan einen finger;phrase;absent;man kan einen finger;3
mit starcken feuer so;phrase;absent;mit starcken feuer so;3
praeparatio saltz terra seu;phrase;absent;praeparatio saltz terra seu;3
seinem wie auch derselben;phrase;absent;seinem wie auch derselben;3
sich in der mitte;phrase;absent;sich in der mitte;3
so nimm seyn hinterstellige;phrase;absent;so nimm seyn hinterstellige;3
so offt biß es;phrase;absent;so offt biß es;3
stärcker feuer daß das;phrase;absent;stärcker feuer daß das;3
theil des rothen pulvers;phrase;absent;theil des rothen pulvers;3
theil wird das philosophische;phrase;absent;theil wird das philosophische;3
und letzlich in der;phrase;absent;und letzlich in der;3
über lb nicht einsetzen;phrase;absent;über lb nicht einsetzen;3
aber solches aufs höchste;phrase;absent;aber solches aufs höchste;4
andere den freyen himmel;phrase;absent;andere den freyen himmel;4
athanor in die innerste;phrase;absent;athanor in die innerste;4
auch derselben würkung und;phrase;absent;auch derselben würkung und;4
cz gold ist wäge;phrase;absent;cz gold ist wäge;4
cz salz zusammen gieß;phrase;absent;cz salz zusammen gieß;4
cz wasser vorgeschlagen werden;phrase;absent;cz wasser vorgeschlagen werden;4
damit der dampff durchdringen;phrase;absent;damit der dampff durchdringen;4
darinnen der spiritus mundi;phrase;absent;darinnen der spiritus mundi;4
das fixe und volatilische;phrase;absent;das fixe und volatilische;4
das subjectum aller himmlischen;phrase;absent;das subjectum aller himmlischen;4
daß die hitze sey;phrase;absent;daß die hitze sey;4
den durch stehen filtriren;phrase;absent;den durch stehen filtriren;4
die hitze sey daß;phrase;absent;die hitze sey daß;4
distillirt regen cz wasser;phrase;absent;distillirt regen cz wasser;4
ein klein rubin rotes;phrase;absent;ein klein rubin rotes;4
erleiden mag so werden;phrase;absent;erleiden mag so werden;4
fleißig zur extraction des;phrase;absent;fleißig zur extraction des;4
geist der nitri nemlich;phrase;absent;geist der nitri nemlich;4
in der mitten ein;phrase;absent;in der mitten ein;4
je mehr und hitziger;phrase;absent;je mehr und hitziger;4
letzlich setze das glaß;phrase;absent;letzlich setze das glaß;4
mit starcken cz feuer;phrase;absent;mit starcken cz feuer;4
mundi in einem flüchtigen;phrase;absent;mundi in einem flüchtigen;4
ohngefehr einer linsen grad;phrase;absent;ohngefehr einer linsen grad;4
philosophische cz salpeter aus;phrase;absent;philosophische cz salpeter aus;4
und laß die lampen;phrase;absent;und laß die lampen;4
vaporischen cz feuer und;phrase;absent;vaporischen cz feuer und;4
damit die spiritus circuliren;phrase;absent;damit die spiritus circuliren;5
dem spiritu ein flüchtiges;phrase;absent;dem spiritu ein flüchtiges;5
der himmlische unsichtbahre geist;phrase;absent;der himmlische unsichtbahre geist;5
durch stehen filtriren evaporiren;phrase;absent;durch stehen filtriren evaporiren;5
gantz roth herüber gehen;phrase;absent;gantz roth herüber gehen;5
höchste gereiniget werden also;phrase;absent;höchste gereiniget werden also;5
ihrer unsauberkeit reinigen ihr;phrase;absent;ihrer unsauberkeit reinigen ihr;5
in die gelöcherte kugel;phrase;absent;in die gelöcherte kugel;5
laß die lampen fortgehen;phrase;absent;laß die lampen fortgehen;5
meer der welt schwebet;phrase;absent;meer der welt schwebet;5
mutter aller dinge daraus;phrase;absent;mutter aller dinge daraus;5
strahlen schießen je mehr;phrase;absent;strahlen schießen je mehr;5
und in der mitten;phrase;absent;und in der mitten;5
weil die putrefaction wiert;phrase;absent;weil die putrefaction wiert;5
aller dinge daraus alles;phrase;absent;aller dinge daraus alles;6
allezeit cz wasser seyn;phrase;absent;allezeit cz wasser seyn;6
aufs höchste gereiniget werden;phrase;absent;aufs höchste gereiniget werden;6
glaß soll nur halb;phrase;absent;glaß soll nur halb;6
in die innerste kugel;phrase;absent;in die innerste kugel;6
stehen filtriren evaporiren und;phrase;absent;stehen filtriren evaporiren und;6
der ersten kugel allezeit;phrase;absent;der ersten kugel allezeit;7
abermahl;term;absent;abermahl;3
absonderlich;term;absent;absonderlich;3
abtriefen;term;absent;abtriefen;3
abyce;term;absent;abyce;3
accipe;term;absent;accipe;3
adler;term;absent;adler;3
alembicum;term;absent;alembicum;3
aliquotes;term;absent;aliquotes;3
allerdings;term;absent;allerdings;3
amen;term;absent;amen;3
amplius;term;absent;amplius;3
angefangen;term;absent;angefangen;3
anhangen;term;absent;anhangen;3
annehmen;term;absent;annehmen;3
anschiessen;term;absent;anschiessen;3
ansehen;term;absent;ansehen;3
ante;term;absent;ante;3
apud;term;absent;apud;3
aqua;term;absent;aqua;3
armoniacum;term;absent;armoniacum;3
art;term;absent;art;3
athanoris;term;absent;athanoris;3
aufbehalten;term;absent;aufbehalten;3
auffhören;term;absent;auffhören;3
augenscheinlich;term;absent;augenscheinlich;3
ausgeglüet;term;absent;ausgeglüet;3
autem;term;absent;autem;3
außgeust;term;absent;außgeust;3
außziehen;term;absent;außziehen;3
basilii;term;absent;basilii;3
bedarff;term;absent;bedarff;3
bedeckt;term;absent;bedeckt;3
bereittet;term;absent;bereittet;3
bereittung;term;absent;bereittung;3
besonder;term;absent;besonder;3
brand;term;absent;brand;3
brennet;term;absent;brennet;3
bricht;term;absent;bricht;3
calciniret;term;absent;calciniret;3
calcinirten;term;absent;calcinirten;3
centner;term;absent;centner;3
centro;term;absent;centro;3
christallen;term;absent;christallen;3
cinere;term;absent;cinere;3
cineres;term;absent;cineres;3
clauso;term;absent;clauso;3
coagula;term;absent;coagula;3
coagulire;term;absent;coagulire;3
consequenter;term;absent;consequenter;3
cristallen;term;absent;cristallen;3
cristallinisch;term;absent;cristallinisch;3
darbey;term;absent;darbey;3
dasselbige;term;absent;dasselbige;3
dazu;term;absent;dazu;3
denselben;term;absent;denselben;3
desgleichen;term;absent;desgleichen;3
deßwegen;term;absent;deßwegen;3
dianam;term;absent;dianam;3
dich;term;absent;dich;3
dick;term;absent;dick;3
dienlich;term;absent;dienlich;3
digerir;term;absent;digerir;3
dingen;term;absent;dingen;3
dunst;term;absent;dunst;3
dunste;term;absent;dunste;3
eher;term;absent;eher;3
eichernen;term;absent;eichernen;3
einerley;term;absent;einerley;3
einfallen;term;absent;einfallen;3
einflüße;term;absent;einflüße;3
eingemauerten;term;absent;eingemauerten;3
erquicket;term;absent;erquicket;3
erscheinet;term;absent;erscheinet;3
essenz;term;absent;essenz;3
etiam;term;absent;etiam;3
euch;term;absent;euch;3
euren;term;absent;euren;3
evaporire;term;absent;evaporire;3
exime;term;absent;exime;3
factum;term;absent;factum;3
fall;term;absent;fall;3
ferments;term;absent;ferments;3
fest;term;absent;fest;3
feuchtes;term;absent;feuchtes;3
feuers;term;absent;feuers;3
fiat;term;absent;fiat;3
fit;term;absent;fit;3
folgenden;term;absent;folgenden;3
frischer;term;absent;frischer;3
fundament;term;absent;fundament;3
fundum;term;absent;fundum;3
gebührlicher;term;absent;gebührlicher;3
gegoßen;term;absent;gegoßen;3
gegraben;term;absent;gegraben;3
gelegt;term;absent;gelegt;3
gelind;term;absent;gelind;3
gemachsamb;term;absent;gemachsamb;3
gemeine;term;absent;gemeine;3
geschlagen;term;absent;geschlagen;3
gesotten;term;absent;gesotten;3
gespüret;term;absent;gespüret;3
gesteckt;term;absent;gesteckt;3
gestirn;term;absent;gestirn;3
gesundheit;term;absent;gesundheit;3
gewachsen;term;absent;gewachsen;3
gewiße;term;absent;gewiße;3
gezeuget;term;absent;gezeuget;3
glantz;term;absent;glantz;3
großen;term;absent;großen;3
grössere;term;absent;grössere;3
guten;term;absent;guten;3
herkommen;term;absent;herkommen;3
herumb;term;absent;herumb;3
himmeln;term;absent;himmeln;3
hin;term;absent;hin;3
igne;term;absent;igne;3
imitiret;term;absent;imitiret;3
immer;term;absent;immer;3
inneren;term;absent;inneren;3
innersten;term;absent;innersten;3
irdene;term;absent;irdene;3
item;term;absent;item;3
iterum;term;absent;iterum;3
jedes;term;absent;jedes;3
keller;term;absent;keller;3
kinderspiel;term;absent;kinderspiel;3
kräftten;term;absent;kräftten;3
kurtzweil;term;absent;kurtzweil;3
könig;term;absent;könig;3
könnet;term;absent;könnet;3
lapidem;term;absent;lapidem;3
lasse;term;absent;lasse;3
lebens;term;absent;lebens;3
lege;term;absent;lege;3
letzten;term;absent;letzten;3
lieblich;term;absent;lieblich;3
lieblichen;term;absent;lieblichen;3
liquoris;term;absent;liquoris;3
loch;term;absent;loch;3
lutiret;term;absent;lutiret;3
läutern;term;absent;läutern;3
löcherichte;term;absent;löcherichte;3
maledicta;term;absent;maledicta;3
mancherley;term;absent;mancherley;3
mariginalie;term;absent;mariginalie;3
meile;term;absent;meile;3
minera;term;absent;minera;3
minima;term;absent;minima;3
mische;term;absent;mische;3
mittel;term;absent;mittel;3
morgens;term;absent;morgens;3
möchte;term;absent;möchte;3
möget;term;absent;möget;3
nachrichtung;term;absent;nachrichtung;3
niderschlagen;term;absent;niderschlagen;3
niedersetzen;term;absent;niedersetzen;3
nimmt;term;absent;nimmt;3
nochmahls;term;absent;nochmahls;3
nota;term;absent;nota;3
novo;term;absent;novo;3
nulla;term;absent;nulla;3
obigen;term;absent;obigen;3
omnia;term;absent;omnia;3
omnium;term;absent;omnium;3
oportet;term;absent;oportet;3
opus;term;absent;opus;3
parte;term;absent;parte;3
partem;term;absent;partem;3
pflegen;term;absent;pflegen;3
phiolam;term;absent;phiolam;3
phlegmate;term;absent;phlegmate;3
placitum;term;absent;placitum;3
pluviali;term;absent;pluviali;3
pondere;term;absent;pondere;3
potabile;term;absent;potabile;3
principium;term;absent;principium;3
purgati;term;absent;purgati;3
quae;term;absent;quae;3
qualitate;term;absent;qualitate;3
quam;term;absent;quam;3
qui;term;absent;qui;3
quo;term;absent;quo;3
quod;term;absent;quod;3
rectificire;term;absent;rectificire;3
reibet;term;absent;reibet;3
reiner;term;absent;reiner;3
reinige;term;absent;reinige;3
roht;term;absent;roht;3
sagen;term;absent;sagen;3
salpetersieder;term;absent;salpetersieder;3
salzes;term;absent;salzes;3
schalen;term;absent;schalen;3
schwer;term;absent;schwer;3
schönen;term;absent;schönen;3
schöpfer;term;absent;schöpfer;3
siehet;term;absent;siehet;3
skrupel;term;absent;skrupel;3
sol;term;absent;sol;3
sonst;term;absent;sonst;3
stund;term;absent;stund;3
stück;term;absent;stück;3
sublima;term;absent;sublima;3
subtilirt;term;absent;subtilirt;3
superius;term;absent;superius;3
tantum;term;absent;tantum;3
teil;term;absent;teil;3
ter;term;absent;ter;3
thalers;term;absent;thalers;3
theuren;term;absent;theuren;3
tingiren;term;absent;tingiren;3
tingirende;term;absent;tingirende;3
tingirt;term;absent;tingirt;3
tingit;term;absent;tingit;3
treibe;term;absent;treibe;3
tres;term;absent;tres;3
trocken;term;absent;trocken;3
trächterlein;term;absent;trächterlein;3
tugendt;term;absent;tugendt;3
una;term;absent;una;3
universalem;term;absent;universalem;3
universi;term;absent;universi;3
unze;term;absent;unze;3
ver;term;absent;ver;3
verbleiben;term;absent;verbleiben;3
vergrabet;term;absent;vergrabet;3
verlutierte;term;absent;verlutierte;3
vermehren;term;absent;vermehren;3
verstanden;term;absent;verstanden;3
verum;term;absent;verum;3
verwandeln;term;absent;verwandeln;3
vierdte;term;absent;vierdte;3
vini;term;absent;vini;3
vorraht;term;absent;vorraht;3
wanns;term;absent;wanns;3
warmet;term;absent;warmet;3
waschet;term;absent;waschet;3
waßers;term;absent;waßers;3
weisses;term;absent;weisses;3
welcher;term;absent;welcher;3
wiederhohlet;term;absent;wiederhohlet;3
wiederholter;term;absent;wiederholter;3
wind;term;absent;wind;3
wirstu;term;absent;wirstu;3
wochen;term;absent;wochen;3
wäre;term;absent;wäre;3
würcken;term;absent;würcken;3
würmlein;term;absent;würmlein;3
ziemlich;term;absent;ziemlich;3
zwey;term;absent;zwey;3
übrig;term;absent;übrig;3
übrigen;term;absent;übrigen;3
abgenommen;term;absent;abgenommen;4
abmessen;term;absent;abmessen;4
alcali;term;absent;alcali;4
allemahl;term;absent;allemahl;4
alsbaldt;term;absent;alsbaldt;4
anfangen;term;absent;anfangen;4
anfangs;term;absent;anfangs;4
antimon;term;absent;antimon;4
aperto;term;absent;aperto;4
arenam;term;absent;arenam;4
aufgang;term;absent;aufgang;4
aufgeschlossen;term;absent;aufgeschlossen;4
auflösen;term;absent;auflösen;4
aufschließen;term;absent;aufschließen;4
aurum;term;absent;aurum;4
bald;term;absent;bald;4
balneum;term;absent;balneum;4
bekant;term;absent;bekant;4
bekommen;term;absent;bekommen;4
bene;term;absent;bene;4
beschlagene;term;absent;beschlagene;4
beste;term;absent;beste;4
beständig;term;absent;beständig;4
beyden;term;absent;beyden;4
bolarische;term;absent;bolarische;4
breit;term;absent;breit;4
calcinata;term;absent;calcinata;4
calcinirte;term;absent;calcinirte;4
cap;term;absent;cap;4
cineribus;term;absent;cineribus;4
coagulation;term;absent;coagulation;4
colores;term;absent;colores;4
cristallisch;term;absent;cristallisch;4
crystall;term;absent;crystall;4
demnach;term;absent;demnach;4
denen;term;absent;denen;4
destillationen;term;absent;destillationen;4
desto;term;absent;desto;4
deß;term;absent;deß;4
diana;term;absent;diana;4
dienet;term;absent;dienet;4
dritten;term;absent;dritten;4
durchdringen;term;absent;durchdringen;4
edle;term;absent;edle;4
ehe;term;absent;ehe;4
eingesotten;term;absent;eingesotten;4
einigen;term;absent;einigen;4
endlich;term;absent;endlich;4
erglüen;term;absent;erglüen;4
erheben;term;absent;erheben;4
erkaltet;term;absent;erkaltet;4
esse;term;absent;esse;4
etwa;term;absent;etwa;4
fermentatio;term;absent;fermentatio;4
fermentirt;term;absent;fermentirt;4
fetten;term;absent;fetten;4
feurig;term;absent;feurig;4
fließen;term;absent;fließen;4
foecundieret;term;absent;foecundieret;4
folgen;term;absent;folgen;4
fontina;term;absent;fontina;4
forthan;term;absent;forthan;4
forti;term;absent;forti;4
gantzen;term;absent;gantzen;4
gefäß;term;absent;gefäß;4
gereinigten;term;absent;gereinigten;4
geruchs;term;absent;geruchs;4
geschicht;term;absent;geschicht;4
gesetzet;term;absent;gesetzet;4
gestanden;term;absent;gestanden;4
gethan;term;absent;gethan;4
gewichte;term;absent;gewichte;4
geworffen;term;absent;geworffen;4
giessen;term;absent;giessen;4
gläsernen;term;absent;gläsernen;4
grabe;term;absent;grabe;4
granum;term;absent;granum;4
guter;term;absent;guter;4
haltte;term;absent;haltte;4
heisset;term;absent;heisset;4
hell;term;absent;hell;4
heterogenea;term;absent;heterogenea;4
hier;term;absent;hier;4
hindurch;term;absent;hindurch;4
häuffig;term;absent;häuffig;4
höchsten;term;absent;höchsten;4
höhe;term;absent;höhe;4
ignis;term;absent;ignis;4
imbibition;term;absent;imbibition;4
keinen;term;absent;keinen;4
kleinen;term;absent;kleinen;4
kommt;term;absent;kommt;4
kölblein;term;absent;kölblein;4
kürtzer;term;absent;kürtzer;4
langsam;term;absent;langsam;4
lapidis;term;absent;lapidis;4
laus;term;absent;laus;4
letztlich;term;absent;letztlich;4
liquorem;term;absent;liquorem;4
läst;term;absent;läst;4
löcher;term;absent;löcher;4
magno;term;absent;magno;4
may;term;absent;may;4
menschen;term;absent;menschen;4
michaelis;term;absent;michaelis;4
milch;term;absent;milch;4
mineralien;term;absent;mineralien;4
monath;term;absent;monath;4
mort;term;absent;mort;4
natürlich;term;absent;natürlich;4
nemblich;term;absent;nemblich;4
netzet;term;absent;netzet;4
neu;term;absent;neu;4
nimb;term;absent;nimb;4
nutz;term;absent;nutz;4
nöthig;term;absent;nöthig;4
opere;term;absent;opere;4
perlen;term;absent;perlen;4
pfund;term;absent;pfund;4
philosophicum;term;absent;philosophicum;4
philosophisches;term;absent;philosophisches;4
poloni;term;absent;poloni;4
pone;term;absent;pone;4
potest;term;absent;potest;4
principiorum;term;absent;principiorum;4
procede;term;absent;procede;4
pur;term;absent;pur;4
purificiret;term;absent;purificiret;4
putrefactionis;term;absent;putrefactionis;4
quantität;term;absent;quantität;4
quia;term;absent;quia;4
receptaculum;term;absent;receptaculum;4
recipiente;term;absent;recipiente;4
regenwasser;term;absent;regenwasser;4
reinigung;term;absent;reinigung;4
repetire;term;absent;repetire;4
residua;term;absent;residua;4
rote;term;absent;rote;4
sambt;term;absent;sambt;4
sandt;term;absent;sandt;4
schatz;term;absent;schatz;4
scheide;term;absent;scheide;4
schlage;term;absent;schlage;4
secunda;term;absent;secunda;4
seele;term;absent;seele;4
sehr;term;absent;sehr;4
seu;term;absent;seu;4
sommer;term;absent;sommer;4
subtilen;term;absent;subtilen;4
suptil;term;absent;suptil;4
tierlein;term;absent;tierlein;4
tringen;term;absent;tringen;4
trockenen;term;absent;trockenen;4
tugend;term;absent;tugend;4
tunc;term;absent;tunc;4
umb;term;absent;umb;4
unam;term;absent;unam;4
uniren;term;absent;uniren;4
unsers;term;absent;unsers;4
vereinigen;term;absent;vereinigen;4
vermacht;term;absent;vermacht;4
vermittelst;term;absent;vermittelst;4
verriechen;term;absent;verriechen;4
verschloßene;term;absent;verschloßene;4
vitro;term;absent;vitro;4
vorrath;term;absent;vorrath;4
vulgi;term;absent;vulgi;4
